G,T
1737,130.0
1601,130.0
1315,130.0
1246,130.0
1128,130.0
1128,130.0
1313,130.0
1735,130.0
1664,200.0
1389,200.0
1486,200.0
1716,200.0
1677,200.0
1671,200.0
1799,200.0
1490,200.0
1338,200.0
1448,200.0
1804,200.0
1763,200.0
1634,200.0
1756,200.0
1609,200.0
1515,200.0
1479,200.0
1381,200.0
1163,200.0
1371,200.0
1700,200.0
1555,130.0
1355,130.0
1494,130.0
1659,130.0
1508,130.0
1592,130.0
1688,130.0
1478,130.0
1381,130.0
1535,130.0
1792,130.0
1556,130.0
1546,130.0
1593,130.0
1530,130.0
1450,130.0
1498,130.0
1252,130.0
1139,130.0
1394,130.0
1580,130.0
1447,130.0
1308,130.0
1467,130.0
1556,130.0
1567,130.0
1657,130.0
1636,130.0
1427,130.0
1389,130.0
1749,130.0
1736,130.0
1459,130.0
1513,130.0
1510,130.0
1410,130.0
1358,130.0
1348,130.0
1348,130.0
1241,130.0
1421,130.0
1500,130.0
1283,130.0
1288,130.0
1499,130.0
1607,130.0
1695,130.0
1735,130.0
1644,130.0
1332,130.0
1415,130.0
1896,130.0
1532,130.0
1387,130.0
1354,130.0
1411,130.0
1350,130.0
1458,130.0
1354,130.0
1255,130.0
1192,130.0
1464,130.0
1356,130.0
1163,130.0
1333,130.0
1542,130.0
1539,130.0
1688,130.0
1770,130.0
1496,130.0
1302,130.0
1506,130.0
1909,130.0
1504,130.0
1420,130.0
1537,130.0
1487,130.0
1299,130.0
1294,130.0
1212,130.0
1178,130.0
1384,130.0
1678,130.0
1449,130.0
1158,130.0
1241,130.0
1446,130.0
1519,130.0
1654,130.0
1695,130.0
1491,130.0
1432,130.0
1397,130.0
1763,130.0
1548,130.0
1541,130.0
1585,130.0
1541,130.0
1593,130.0
1393,130.0
1126,130.0
1189,130.0
1515,130.0
1699,130.0
1411,130.0
1223,130.0
1363,130.0
1475,130.0
1539,130.0
1745,130.0
1694,130.0
1460,130.0
1307,130.0
1704,130.0
1605,200.0
1338,200.0
1436,200.0
1519,200.0
1464,200.0
1510,200.0
1320,200.0
1280,200.0
1403,200.0
1439,200.0
1457,200.0
1312,130.0
1331,130.0
1455,130.0
1450,130.0
1536,130.0
1716,130.0
1554,130.0
1266,130.0
1589,130.0
1921,130.0
1768,130.0
1520,130.0
1533,130.0
1473,130.0
1371,130.0
1460,130.0
1201,130.0
1114,130.0
1377,130.0
1665,130.0
1477,200.0
1291,200.0
1429,200.0
1511,200.0
