G,T
1893,230.0
2207,230.0
1471,200.0
1423,200.0
2434,200.0
2334,200.0
1732,200.0
1725,200.0
1792,200.0
1867,200.0
1788,230.0
1642,230.0
1392,230.0
1813,230.0
2189,230.0
1960,230.0
1587,230.0
1511,230.0
1794,230.0
2172,230.0
2166,130.0
2240,130.0
1259,130.0
1756,130.0
2526,130.0
1716,130.0
1373,130.0
1493,130.0
2157,130.0
1927,230.0
1974,230.0
1583,230.0
2002,230.0
2408,230.0
2011,230.0
1520,230.0
1456,230.0
1659,230.0
2015,230.0
2367,230.0
2182,230.0
949,230.0
1904,230.0
2799,230.0
2126,230.0
1697,230.0
1830,230.0
1936,230.0
1718,230.0
1532,230.0
1482,230.0
1488,230.0
2063,230.0
2356,230.0
1824,230.0
1537,230.0
1547,230.0
1518,230.0
1569,230.0
1949,230.0
1922,200.0
1115,200.0
1925,200.0
2165,200.0
1836,200.0
1397,200.0
821,200.0
771,200.0
1421,200.0
1961,200.0
1904,200.0
1305,200.0
1945,200.0
1801,200.0
796,200.0
800,200.0
1042,200.0
1601,200.0
2326,200.0
1880,230.0
1383,230.0
1266,230.0
2555,230.0
2162,230.0
1521,230.0
1232,230.0
1145,230.0
1333,230.0
1634,230.0
1662,230.0
1673,230.0
2018,230.0
2714,230.0
2186,230.0
1458,230.0
1409,230.0
1661,230.0
2003,230.0
1831,230.0
1891,230.0
1366,230.0
1745,230.0
2547,230.0
2020,230.0
1752,230.0
1821,230.0
2235,230.0
2130,230.0
1965,230.0
1484,230.0
1829,230.0
2615,230.0
2482,230.0
1928,230.0
1560,230.0
1715,230.0
1846,230.0
1865,230.0
1771,230.0
1490,230.0
1903,230.0
2959,230.0
2518,230.0
2271,230.0
2222,230.0
2283,230.0
1937,230.0
2068,230.0
1563,230.0
1678,230.0
2400,230.0
2924,230.0
2469,230.0
2109,230.0
2009,230.0
1992,230.0
2039,230.0
2200,230.0
1753,230.0
1338,230.0
2281,230.0
2696,230.0
2315,230.0
2216,230.0
2398,230.0
2316,230.0
2002,230.0
1585,230.0
1607,230.0
1954,230.0
2683,230.0
2529,230.0
1925,230.0
1798,230.0
1908,230.0
1954,230.0
2080,230.0
2007,230.0
1479,230.0
1441,230.0
3136,230.0
2459,230.0
2149,230.0
2177,230.0
2163,230.0
1888,230.0
1673,230.0
1961,230.0
1464,230.0
1847,230.0
2731,230.0
2502,230.0
2161,230.0
1990,230.0
2136,230.0
2022,200.0
2215,200.0
2188,200.0
1288,200.0
1708,200.0
2976,200.0
2374,200.0
2214,200.0
2162,200.0
