G,T
1289,430.0
1190,430.0
1186,430.0
3211,430.0
4215,430.0
3357,430.0
2525,430.0
1558,430.0
1309,430.0
1317,430.0
1213,430.0
4540,430.0
3807,430.0
2543,430.0
1024,430.0
754,430.0
832,430.0
1217,430.0
1418,430.0
1989,430.0
4291,430.0
3498,430.0
2720,430.0
1799,430.0
1584,430.0
1213,430.0
1239,430.0
2210,430.0
5765,430.0
3959,430.0
2101,430.0
1502,430.0
1627,430.0
1658,430.0
1124,430.0
1907,430.0
4066,430.0
4072,430.0
2679,430.0
1747,430.0
1217,430.0
1208,430.0
1055,430.0
1520,430.0
3912,430.0
5929,430.0
3081,430.0
1697,430.0
989,430.0
1555,430.0
1557,430.0
1327,430.0
1927,430.0
4206,430.0
4178,430.0
2866,430.0
1674,430.0
1243,430.0
1278,430.0
1065,430.0
1539,430.0
3661,430.0
5022,430.0
3014,430.0
1334,430.0
1375,430.0
1872,430.0
1545,430.0
1549,430.0
2538,430.0
3729,430.0
4058,430.0
2076,430.0
1274,430.0
1090,430.0
1355,430.0
1254,430.0
2704,430.0
6452,430.0
3814,330.0
1911,330.0
1161,330.0
1718,330.0
1152,330.0
1015,330.0
2273,330.0
3897,330.0
3191,430.0
2215,430.0
1589,430.0
1187,430.0
1919,430.0
1572,430.0
3150,430.0
6119,430.0
3116,430.0
1773,430.0
1040,430.0
1353,430.0
1215,430.0
1163,430.0
1744,430.0
3362,430.0
4343,430.0
2878,430.0
1907,430.0
1611,430.0
1393,430.0
1360,430.0
1885,430.0
5579,430.0
4172,430.0
2173,430.0
1302,430.0
1169,430.0
1471,430.0
1409,430.0
1547,430.0
4027,430.0
4594,430.0
4145,430.0
2175,430.0
1616,430.0
1660,430.0
1265,430.0
1516,430.0
3784,430.0
6774,430.0
2912,430.0
1416,430.0
1365,430.0
2045,430.0
1685,430.0
1258,430.0
2676,430.0
4464,430.0
4664,430.0
2642,430.0
1598,430.0
1235,430.0
1341,430.0
1296,430.0
1947,430.0
5786,430.0
4198,430.0
2144,430.0
1285,430.0
1459,430.0
1468,430.0
1360,430.0
1635,430.0
4313,430.0
4402,430.0
3155,430.0
2211,430.0
1695,430.0
1215,430.0
1051,430.0
1355,430.0
3848,430.0
5143,430.0
2635,430.0
1403,430.0
1337,430.0
1696,430.0
1675,430.0
1478,430.0
3055,430.0
4750,430.0
3873,430.0
1533,430.0
948,430.0
977,430.0
937,430.0
1080,430.0
1731,430.0
5179,430.0
4962,430.0
2294,430.0
1173,430.0
1809,430.0
1235,430.0
1071,430.0
1279,430.0
4009,430.0
4423,430.0
3332,430.0
1733,430.0
1377,430.0
1235,430.0
1366,430.0
1094,430.0
3768,430.0
4858,430.0
2665,430.0
1189,430.0
1315,430.0
973,430.0
1025,430.0
1017,430.0
1573,430.0
2630,430.0
2410,430.0
2192,430.0
1114,430.0
490,430.0
462,430.0
317,430.0
1159,430.0
1698,430.0
2480,430.0
1849,230.0
1192,230.0
589,230.0
527,230.0
389,230.0
405,230.0
1066,230.0
2558,230.0
2059,230.0
1612,230.0
933,230.0
431,230.0
312,230.0
651,230.0
1681,230.0
2146,230.0
2410,230.0
1792,230.0
943,230.0
280,230.0
1015,230.0
1300,230.0
1145,230.0
1380,230.0
3012,230.0
2995,230.0
2557,230.0
1305,230.0
821,230.0
415,230.0
340,230.0
1145,230.0
2502,230.0
3046,230.0
2938,230.0
1511,230.0
1223,230.0
1518,230.0
1123,230.0
919,230.0
1662,230.0
3802,230.0
3852,230.0
2713,430.0
1649,430.0
1134,430.0
1131,430.0
1237,430.0
1460,430.0
4317,430.0
5257,430.0
2779,430.0
1670,430.0
1235,430.0
1557,430.0
1038,430.0
892,430.0
2417,430.0
4627,430.0
3682,430.0
2381,430.0
1516,430.0
1107,430.0
1180,430.0
1357,430.0
1838,430.0
5722,430.0
4485,430.0
3237,430.0
980,430.0
1373,430.0
1298,430.0
1645,430.0
836,430.0
2164,430.0
5624,430.0
3324,430.0
2018,430.0
1601,430.0
1272,430.0
1234,430.0
1327,430.0
2099,430.0
5691,430.0
4648,430.0
2509,430.0
1257,430.0
971,430.0
1303,430.0
1254,430.0
1010,430.0
2382,430.0
4386,430.0
3640,430.0
2239,430.0
1478,430.0
1132,430.0
1203,430.0
1600,430.0
2606,430.0
6046,430.0
3905,430.0
2541,430.0
1088,430.0
967,430.0
843,430.0
791,430.0
799,430.0
2476,430.0
3981,430.0
3090,430.0
2319,430.0
1110,430.0
1136,430.0
1064,430.0
1177,430.0
1385,430.0
4217,430.0
5018,430.0
2756,430.0
1864,430.0
1248,430.0
1197,430.0
1043,430.0
1017,430.0
2137,430.0
4152,430.0
4022,430.0
2733,430.0
1689,430.0
1242,430.0
1262,430.0
1382,430.0
1488,430.0
5323,430.0
5278,430.0
2434,430.0
1358,430.0
1051,430.0
971,430.0
1206,430.0
1360,430.0
2770,430.0
4158,430.0
3808,430.0
2579,430.0
1360,430.0
1197,430.0
905,430.0
1160,430.0
1507,430.0
4655,430.0
5412,430.0
2937,430.0
1328,430.0
1496,430.0
1238,430.0
1308,430.0
1285,430.0
3078,430.0
4402,430.0
3472,430.0
2237,430.0
1477,430.0
1152,430.0
1162,430.0
1090,430.0
1464,430.0
4718,430.0
4371,430.0
2500,430.0
1477,430.0
1006,430.0
1441,430.0
1107,430.0
1301,430.0
2576,430.0
3748,430.0
3534,430.0
2271,430.0
1429,430.0
1227,430.0
1167,430.0
1103,430.0
1423,430.0
5246,430.0
4748,330.0
3198,330.0
1069,330.0
1152,330.0
1250,330.0
1028,330.0
1209,330.0
2647,330.0
4498,330.0
4285,430.0
2686,430.0
1551,430.0
947,430.0
980,430.0
1257,430.0
1553,430.0
3819,430.0
5197,430.0
