G,T,D,S
2945,430.0,0,0
4468,430.0,0,4468
2453,430.0,3455,0
1150,430.0,0,0
975,430.0,0,0
1315,430.0,0,0
1061,430.0,340,0
974,430.0,0,0
2444,430.0,0,0
4380,430.0,0,4380
2260,430.0,3406,0
1039,430.0,0,0
849,430.0,0,0
1006,430.0,0,0
1161,430.0,0,0
717,430.0,312,0
1554,430.0,0,0
5358,430.0,0,5358
2507,430.0,4641,0
1106,430.0,0,0
1039,430.0,0,0
1365,430.0,0,0
1287,430.0,326,0
977,430.0,0,0
2788,430.0,0,0
4350,430.0,0,4350
1921,430.0,3373,0
545,430.0,0,0
813,430.0,0,0
961,430.0,0,0
975,430.0,0,0
489,430.0,430,0
3620,430.0,0,0
4928,430.0,0,4928
2115,430.0,4439,0
1134,430.0,0,0
1884,430.0,0,0
1857,430.0,750,0
1424,430.0,0,0
1566,430.0,0,0
3696,430.0,0,0
4706,430.0,0,4706
1641,430.0,3282,0
601,430.0,0,0
850,430.0,0,0
802,430.0,0,0
749,430.0,0,0
678,430.0,0,0
4538,430.0,0,4538
3803,430.0,3860,0
1777,430.0,0,0
1454,430.0,0,0
1129,430.0,0,0
1154,430.0,0,0
868,430.0,25,0
1116,430.0,0,0
3549,430.0,0,0
4294,430.0,0,4294
1624,430.0,3426,0
972,430.0,0,0
1254,430.0,0,0
1110,430.0,282,0
825,430.0,0,0
496,430.0,0,0
3796,430.0,0,0
5001,430.0,0,5001
2076,430.0,4505,0
1467,430.0,0,0
1235,430.0,0,0
1372,430.0,0,0
985,430.0,137,0
932,430.0,0,0
2659,430.0,0,0
5205,430.0,0,5205
1693,430.0,4273,0
834,430.0,0,0
1263,430.0,0,0
1315,430.0,0,0
1550,430.0,0,0
771,430.0,716,0
1869,430.0,0,0
3569,430.0,0,3569
2428,430.0,2798,0
998,430.0,0,0
794,430.0,0,0
1025,430.0,0,0
1016,430.0,231,0
1263,430.0,0,0
2364,430.0,0,0
4206,430.0,0,4206
2140,430.0,3190,0
1011,430.0,0,0
705,430.0,0,0
1091,430.0,0,0
1041,430.0,386,0
390,430.0,0,0
2814,430.0,0,0
4029,430.0,0,4029
2418,430.0,3639,0
956,430.0,0,0
676,430.0,0,0
1146,430.0,0,0
1126,430.0,470,0
1095,430.0,0,0
1537,430.0,0,0
4647,430.0,0,4647
2933,430.0,3552,0
870,430.0,0,0
773,430.0,0,0
829,430.0,0,0
953,430.0,0,0
698,430.0,180,0
1179,430.0,0,0
4691,430.0,0,4691
3120,430.0,3993,0
1326,430.0,0,0
1109,430.0,0,0
1442,430.0,0,0
1292,430.0,333,0
1147,430.0,0,0
1718,430.0,0,0
4403,430.0,0,4403
2747,430.0,3256,0
1029,430.0,0,0
1126,430.0,0,0
1063,430.0,97,0
862,430.0,0,0
561,430.0,0,0
1324,430.0,0,0
4188,430.0,0,4188
2732,430.0,3627,0
964,430.0,0,0
660,430.0,0,0
1350,430.0,0,0
1502,430.0,0,0
1189,430.0,842,0
1389,430.0,0,0
4231,430.0,0,4231
2906,430.0,3042,0
1505,430.0,0,0
403,430.0,0,0
693,430.0,0,0
886,430.0,0,0
704,430.0,483,0
554,430.0,0,0
4562,430.0,0,4562
3843,430.0,4008,0
1981,430.0,0,0
1034,430.0,0,0
1165,430.0,0,0
1533,430.0,0,0
1265,430.0,499,0
1167,430.0,0,0
3578,430.0,0,0
4623,430.0,0,4623
1584,430.0,3456,0
606,430.0,0,0
709,430.0,0,0
870,430.0,0,0
831,430.0,264,0
564,430.0,0,0
3300,430.0,0,0
4009,430.0,0,4009
1707,430.0,3445,0
818,430.0,0,0
683,430.0,0,0
1014,430.0,0,0
854,430.0,331,0
1244,430.0,0,0
1709,430.0,0,0
4346,430.0,0,4346
2536,430.0,3492,0
900,430.0,0,0
928,430.0,0,0
1111,430.0,0,0
1143,430.0,0,0
570,430.0,243,0
2044,430.0,0,0
5056,430.0,0,5056
2525,430.0,4486,0
1203,430.0,0,0
826,430.0,0,0
1605,430.0,0,0
1945,430.0,0,0
1576,430.0,1119,0
3235,430.0,0,0
4883,430.0,0,4883
2319,430.0,3307,0
996,430.0,0,0
856,430.0,0,0
762,430.0,0,0
653,430.0,0,0
465,430.0,0,0
3262,430.0,0,3262
3095,430.0,2797,0
2245,430.0,0,0
963,430.0,0,0
799,430.0,0,0
1239,430.0,0,0
1168,430.0,440,0
