G,T
1703,230.0
1522,230.0
1284,230.0
1018,230.0
916,230.0
937,230.0
934,230.0
1253,230.0
1323,230.0
1625,230.0
1630,230.0
1619,200.0
1680,200.0
1584,200.0
1417,200.0
1269,200.0
1258,200.0
1273,200.0
1265,200.0
1655,200.0
1517,200.0
1712,200.0
1752,200.0
1750,200.0
1605,200.0
1446,200.0
1261,200.0
1103,200.0
1165,200.0
1060,200.0
1150,200.0
1020,200.0
1034,200.0
1254,200.0
1315,200.0
1426,200.0
1581,200.0
1645,200.0
1557,130.0
1408,130.0
1472,130.0
1411,130.0
1471,130.0
1769,130.0
1511,130.0
1738,130.0
1722,130.0
1597,130.0
1402,130.0
1352,130.0
1299,130.0
1458,130.0
1338,130.0
1137,130.0
1181,130.0
845,130.0
1069,130.0
1321,130.0
1468,130.0
1561,130.0
1595,130.0
1568,130.0
1497,130.0
1442,130.0
1507,130.0
1475,130.0
1637,130.0
1511,130.0
1723,130.0
1809,130.0
1629,200.0
1504,200.0
1391,200.0
1293,200.0
1234,200.0
1193,200.0
1171,200.0
1087,200.0
1037,200.0
969,200.0
1269,200.0
1339,200.0
1339,200.0
1589,200.0
1730,200.0
1777,200.0
1486,130.0
1358,130.0
1346,130.0
1335,130.0
1595,130.0
1537,130.0
1940,130.0
1691,200.0
1589,200.0
1539,200.0
1472,200.0
1276,200.0
1007,200.0
879,200.0
903,200.0
996,200.0
1202,200.0
1284,200.0
1641,200.0
1552,130.0
1627,130.0
1653,130.0
1615,130.0
1495,130.0
1343,130.0
1323,130.0
1360,130.0
1464,130.0
1598,130.0
1580,200.0
1815,200.0
1785,200.0
1658,200.0
1502,200.0
1384,200.0
1190,200.0
1083,200.0
1034,200.0
960,200.0
1166,200.0
1035,130.0
1281,130.0
1448,130.0
1382,130.0
1519,130.0
1650,130.0
1628,130.0
1419,130.0
1363,130.0
1472,130.0
1339,130.0
1433,130.0
1410,130.0
1645,130.0
1717,130.0
1586,130.0
1541,130.0
1447,130.0
1334,130.0
1103,130.0
1004,130.0
1059,130.0
1022,130.0
1203,130.0
1065,130.0
1382,130.0
1504,130.0
1474,130.0
1513,130.0
1528,130.0
1424,130.0
1246,130.0
1229,130.0
1391,130.0
1325,130.0
1655,130.0
1432,130.0
1596,130.0
1646,130.0
1568,130.0
1513,130.0
1414,130.0
1224,130.0
1045,130.0
1041,130.0
1040,130.0
935,130.0
1086,130.0
1126,130.0
1350,130.0
1420,130.0
1372,130.0
1428,130.0
1603,130.0
1619,130.0
1440,130.0
1382,130.0
1376,130.0
1358,130.0
1750,130.0
1807,130.0
1752,130.0
1883,130.0
1917,130.0
1895,130.0
1757,130.0
1494,130.0
1300,130.0
1107,130.0
964,130.0
863,130.0
931,130.0
1027,130.0
1461,130.0
1806,130.0
1963,130.0
2071,130.0
1881,130.0
1780,130.0
1487,130.0
1369,130.0
1440,130.0
1442,130.0
1601,130.0
1772,130.0
2051,130.0
1970,230.0
1846,230.0
1728,230.0
1556,230.0
1234,230.0
949,230.0
888,230.0
908,230.0
1148,230.0
1178,230.0
1423,230.0
1775,230.0
1834,230.0
1763,200.0
1636,200.0
1513,200.0
1340,200.0
1340,200.0
1410,200.0
1282,200.0
1624,200.0
1563,200.0
1813,200.0
1815,200.0
1584,200.0
1455,200.0
1337,200.0
1175,200.0
1028,200.0
1103,200.0
985,200.0
1119,200.0
1143,200.0
1292,200.0
1585,200.0
1578,130.0
1491,130.0
1525,130.0
1525,130.0
1423,130.0
1388,130.0
1445,130.0
1342,130.0
1559,130.0
1565,130.0
2053,130.0
1945,130.0
1692,130.0
1579,130.0
1488,130.0
1303,130.0
1073,130.0
999,130.0
915,130.0
972,130.0
1215,130.0
1345,130.0
1782,130.0
1788,130.0
1555,200.0
1479,200.0
1451,200.0
1302,200.0
1203,200.0
1275,200.0
1401,200.0
1446,200.0
1589,200.0
1820,200.0
1991,200.0
1767,200.0
1605,200.0
1476,200.0
1322,200.0
1306,200.0
937,200.0
907,200.0
812,200.0
1023,200.0
1155,200.0
1411,200.0
1754,200.0
1610,200.0
1455,200.0
1434,200.0
1402,200.0
1304,200.0
1162,200.0
1281,200.0
1391,200.0
1500,200.0
1498,200.0
1609,200.0
1821,200.0
1734,200.0
1625,200.0
1519,200.0
1378,200.0
1174,200.0
1024,200.0
1064,200.0
951,200.0
1280,200.0
1029,130.0
1425,130.0
1577,130.0
1528,130.0
1556,130.0
1624,130.0
1518,130.0
1385,130.0
1371,130.0
1470,130.0
1352,130.0
1587,130.0
1499,130.0
1902,130.0
1822,130.0
1651,130.0
1479,130.0
1361,130.0
1209,130.0
1007,130.0
976,130.0
938,130.0
1096,130.0
1311,130.0
1308,130.0
1621,130.0
1498,130.0
1436,130.0
1483,130.0
1507,130.0
