G,T,D,S
1626,430.0,0,0
2530,430.0,0,0
2263,430.0,904,0
2334,430.0,0,0
2925,430.0,0,0
8429,430.0,0,8429
6444,430.0,6166,0
1915,430.0,0,0
1137,430.0,0,0
935,430.0,0,0
1084,430.0,0,0
639,430.0,149,0
550,430.0,0,0
2806,430.0,0,0
6129,430.0,0,6129
2848,430.0,5579,0
1453,430.0,0,0
2530,430.0,0,0
2804,430.0,0,0
2014,430.0,1351,0
2365,430.0,0,0
6272,430.0,0,6272
5879,430.0,4258,0
2305,430.0,0,0
1342,430.0,0,0
1053,430.0,0,0
897,430.0,0,0
786,430.0,0,0
600,430.0,0,0
1474,430.0,0,0
5116,430.0,0,5116
3689,430.0,4516,0
1702,430.0,0,0
2710,430.0,0,0
2630,430.0,1008,0
1845,430.0,0,0
1710,430.0,0,0
3814,430.0,0,0
7028,430.0,0,7028
3151,430.0,5318,0
1423,430.0,0,0
994,430.0,0,0
1184,430.0,0,0
867,430.0,190,0
687,430.0,0,0
1672,430.0,0,0
5528,430.0,0,5528
4570,430.0,4841,0
2457,430.0,0,0
2176,430.0,0,0
2771,430.0,0,0
2388,430.0,595,0
1915,430.0,0,0
2697,430.0,0,0
8245,430.0,0,8245
5397,430.0,6330,0
1598,430.0,0,0
970,430.0,0,0
1158,430.0,0,0
1475,430.0,0,0
1231,430.0,505,0
2315,430.0,0,0
5866,430.0,0,5866
4046,430.0,4635,0
2301,430.0,0,0
2940,430.0,0,0
2948,430.0,0,0
2244,430.0,647,0
2640,430.0,0,0
6087,430.0,0,0
6825,430.0,0,6825
2479,430.0,4581,0
1058,430.0,0,0
1329,430.0,0,0
1078,430.0,271,0
822,430.0,0,0
930,430.0,0,0
3727,430.0,0,0
5565,430.0,0,5565
2383,430.0,4743,0
2503,430.0,0,0
3271,430.0,0,0
2583,430.0,888,0
2413,430.0,0,0
4059,430.0,0,0
7040,430.0,0,7040
3761,430.0,4627,0
1717,430.0,0,0
1175,430.0,0,0
1495,430.0,0,0
1165,430.0,320,0
1112,430.0,0,0
2739,430.0,0,0
6169,430.0,0,6169
3264,430.0,5057,0
1815,430.0,0,0
2822,430.0,0,0
2746,430.0,1007,0
2396,430.0,0,0
2852,430.0,0,0
6759,430.0,0,0
7039,430.0,0,7039
2180,430.0,4643,0
1161,430.0,0,0
1063,430.0,0,0
1210,430.0,0,0
994,430.0,147,0
576,430.0,0,0
3318,430.0,0,0
6078,430.0,0,6078
2487,430.0,5502,0
2200,430.0,0,0
3147,430.0,0,0
2500,430.0,947,0
2099,430.0,0,0
2624,430.0,0,0
7000,430.0,0,7000
5863,430.0,4901,0
2067,430.0,0,0
1205,430.0,0,0
1077,430.0,0,0
1049,430.0,0,0
1126,430.0,0,0
552,430.0,77,0
2161,430.0,0,0
6563,430.0,0,6563
3129,430.0,6011,0
1682,430.0,0,0
2822,430.0,0,0
2668,430.0,1140,0
2263,430.0,0,0
3196,430.0,0,0
8952,430.0,0,8952
6023,430.0,6689,0
2027,430.0,0,0
1309,430.0,0,0
954,430.0,0,0
1229,430.0,0,0
1347,430.0,0,0
1016,430.0,393,0
2347,430.0,0,0
4330,430.0,0,0
2960,430.0,3314,0
1443,430.0,0,0
2340,430.0,0,0
2534,430.0,0,2534
1974,230.0,1091,0
2201,230.0,0,0
5981,230.0,0,0
6712,230.0,0,0
2680,230.0,4738,0
646,230.0,0,0
945,230.0,0,0
816,230.0,0,0
885,230.0,0,0
606,230.0,0,0
2368,230.0,0,0
5742,230.0,0,5742
3027,230.0,5136,0
1671,230.0,0,0
1959,230.0,0,0
2647,230.0,0,0
2286,230.0,976,0
2360,230.0,0,0
5939,230.0,0,0
7245,230.0,0,7245
2200,430.0,4959,0
777,430.0,0,0
939,430.0,0,0
821,430.0,0,0
1128,430.0,0,0
1033,430.0,307,0
2463,430.0,0,0
6908,430.0,0,6908
3625,430.0,5875,0
1820,430.0,0,0
2099,430.0,0,0
2667,430.0,0,0
2049,430.0,847,0
2301,430.0,0,0
5430,430.0,0,0
7556,430.0,0,7556
2523,430.0,5507,0
783,430.0,0,0
1056,430.0,0,0
923,430.0,273,0
949,430.0,0,0
912,430.0,0,0
2688,430.0,0,0
5415,430.0,0,5415
3533,430.0,4503,0
2168,430.0,0,0
2284,430.0,0,0
2367,430.0,0,0
2077,430.0,199,0
2599,430.0,0,0
5818,430.0,0,0
6754,430.0,0,6754
2266,430.0,4677,0
935,430.0,0,0
1133,430.0,0,0
1065,430.0,198,0
846,430.0,0,0
963,430.0,0,0
3033,430.0,0,0
4854,430.0,0,4854
2157,430.0,4008,0
1210,430.0,0,0
2148,430.0,0,0
2045,430.0,938,0
1664,430.0,0,0
2204,430.0,0,0
5977,430.0,0,5977
5938,430.0,4313,0
1985,430.0,0,0
1025,430.0,0,0
924,430.0,0,0
756,430.0,0,0
724,430.0,0,0
459,430.0,0,0
2776,430.0,0,0
6120,430.0,0,6120
2492,430.0,5661,0
1662,430.0,0,0
3077,430.0,0,0
2875,430.0,1415,0
2057,430.0,0,0
2020,430.0,0,0
5503,430.0,0,0
6551,430.0,0,6551
2472,430.0,4531,0
988,430.0,0,0
685,430.0,0,0
689,430.0,0,0
702,430.0,0,0
526,430.0,17,0
1531,430.0,0,0
5264,430.0,0,5264
3340,430.0,4738,0
1478,430.0,0,0
2082,430.0,0,0
2027,430.0,604,0
1647,430.0,0,0
2109,430.0,0,0
4037,430.0,0,0
6910,430.0,0,6910
3377,430.0,5263,0
1382,430.0,0,0
1157,430.0,0,0
1063,430.0,0,0
758,430.0,0,0
550,430.0,0,0
1453,430.0,0,0
4839,430.0,0,4839
4244,430.0,4289,0
1971,430.0,0,0
2261,430.0,0,0
2771,430.0,0,0
2065,430.0,800,0
1942,430.0,0,0
3865,430.0,0,0
7164,430.0,0,7164
3483,430.0,5222,0
1037,430.0,0,0
992,430.0,0,0
949,430.0,0,0
885,430.0,0,0
589,430.0,0,0
840,430.0,0,0
4705,430.0,0,4705
4360,430.0,4116,0
1960,430.0,0,0
1084,430.0,0,0
1647,430.0,0,0
2303,430.0,0,0
1778,430.0,1219,0
1475,430.0,0,0
6087,430.0,0,0
6528,430.0,0,6528
2066,430.0,5053,0
992,430.0,0,0
928,430.0,0,0
1370,430.0,0,0
1365,430.0,442,0
1651,430.0,0,0
5137,430.0,0,0
6228,430.0,0,6228
3536,430.0,4863,0
2467,430.0,0,0
2714,430.0,0,0
2314,430.0,247,0
1741,430.0,0,0
1859,430.0,0,0
4280,430.0,0,0
6797,430.0,0,6797
2731,430.0,5056,0
719,430.0,0,0
790,430.0,0,0
935,430.0,0,0
992,430.0,0,0
1021,430.0,0,0
3189,430.0,0,0
5353,430.0,0,5353
2684,430.0,4634,0
1830,430.0,0,0
2395,430.0,0,0
2351,430.0,565,0
1947,430.0,0,0
2217,430.0,0,0
5331,430.0,0,0
6633,430.0,0,6633
2740,430.0,4686,0
888,430.0,0,0
1087,430.0,0,0
1080,430.0,199,0
927,430.0,0,0
609,430.0,0,0
1767,430.0,0,0
5851,430.0,0,5851
3814,430.0,5242,0
1720,430.0,0,0
1815,430.0,0,0
2175,430.0,0,0
1781,430.0,455,0
1749,430.0,0,0
3275,430.0,0,0
7026,430.0,0,7026
4808,430.0,5277,0
1044,430.0,0,0
904,430.0,0,0
1111,430.0,0,0
1194,430.0,0,0
947,430.0,290,0
1185,430.0,0,0
5101,430.0,0,5101
4737,430.0,4154,0
2321,430.0,0,0
2029,430.0,0,0
2305,430.0,0,0
1704,430.0,276,0
1337,430.0,0,0
1963,430.0,0,0
6313,430.0,0,6313
5363,430.0,4976,0
1562,430.0,0,0
933,430.0,0,0
1089,430.0,0,0
1239,430.0,0,0
1092,430.0,306,0
1001,430.0,0,0
3141,430.0,0,0
6644,430.0,0,6644
3594,430.0,5643,0
2016,430.0,0,0
1794,430.0,0,0
2647,430.0,0,0
2463,430.0,853,0
2170,430.0,0,0
3439,430.0,0,0
8422,430.0,0,8422
4549,430.0,6252,0
1123,430.0,0,0
1270,430.0,0,0
1257,430.0,147,0
1080,430.0,0,0
638,430.0,0,0
1934,430.0,0,0
6101,430.0,0,6101
4236,430.0,5463,0
2326,430.0,0,0
2186,430.0,0,0
2850,430.0,0,0
2219,430.0,664,0
1499,430.0,0,0
2157,430.0,0,0
7513,430.0,0,7513
4119,430.0,6014,0
1417,430.0,0,0
773,430.0,0,0
1080,430.0,0,0
900,430.0,307,0
713,430.0,0,0
1573,430.0,0,0
5517,430.0,0,5517
4476,430.0,4804,0
1855,430.0,0,0
1581,430.0,0,0
2457,430.0,0,0
2061,430.0,876,0
1933,430.0,0,0
2952,430.0,0,0
7069,430.0,0,7069
5144,430.0,5136,0
1719,430.0,0,0
1236,430.0,0,0
1221,430.0,0,0
1224,430.0,0,0
816,430.0,3,0
915,430.0,0,0
4610,430.0,0,0
6461,430.0,0,6461
2801,430.0,5645,0
2376,430.0,0,0
3845,430.0,0,0
2969,430.0,1469,0
2171,430.0,0,0
2763,430.0,0,0
7080,430.0,0,7080
5910,430.0,4909,0
1732,430.0,0,0
1180,430.0,0,0
1137,430.0,0,0
1049,430.0,0,0
710,430.0,0,0
750,430.0,0,0
5154,430.0,0,0
5831,430.0,0,5831
2722,430.0,5121,0
1919,430.0,0,0
2584,430.0,0,0
2417,430.0,665,0
1966,430.0,0,0
2319,430.0,0,0
6025,430.0,0,0
7141,430.0,0,7141
2477,430.0,5175,0
1027,430.0,0,0
994,430.0,0,0
1075,430.0,0,0
1029,430.0,81,0
670,430.0,0,0
3089,430.0,0,0
6491,430.0,0,6491
3216,430.0,5821,0
1639,430.0,0,0
2531,430.0,0,0
2700,430.0,0,0
1929,430.0,1061,0
2193,430.0,0,0
5387,430.0,0,0
7472,430.0,0,7472
2779,430.0,5543,0
1287,430.0,0,0
892,430.0,0,0
984,430.0,0,0
987,430.0,0,0
714,430.0,95,0
1321,430.0,0,0
4962,430.0,0,4962
4759,430.0,4248,0
2038,430.0,0,0
2373,430.0,0,0
2912,430.0,0,0
2245,430.0,874,0
2215,430.0,0,0
4267,430.0,0,0
7625,430.0,0,7625
3895,430.0,5410,0
1358,430.0,0,0
1314,430.0,0,0
1189,430.0,0,0
931,430.0,0,0
641,430.0,0,0
1643,430.0,0,0
6229,430.0,0,6229
3906,430.0,5588,0
1588,430.0,0,0
1393,430.0,0,0
2328,430.0,0,0
2177,430.0,935,0
2124,430.0,0,0
2939,430.0,0,0
8094,430.0,0,8094
6248,430.0,5970,0
2042,430.0,0,0
1489,430.0,0,0
1217,430.0,0,0
1249,430.0,0,0
939,430.0,32,0
852,430.0,0,0
3187,430.0,0,0
5494,430.0,0,5494
2648,430.0,4642,0
1422,430.0,0,0
1571,430.0,0,0
2143,430.0,0,0
2160,430.0,0,0
2397,430.0,0,0
5089,430.0,0,0
8042,430.0,0,8042
3090,430.0,6620,0
938,430.0,0,0
973,430.0,0,0
948,430.0,0,0
1254,430.0,0,0
1215,430.0,306,0
1238,430.0,0,0
3641,430.0,0,0
4600,430.0,0,4600
3620,430.0,3385,0
1812,430.0,0,0
1956,430.0,0,0
2630,430.0,0,0
3262,430.0,0,0
3281,430.0,0,0
6175,430.0,0,0
7824,430.0,0,7824
3406,430.0,6012,0
1294,430.0,0,0
1276,430.0,0,0
1297,430.0,0,0
1159,430.0,21,0
998,430.0,0,0
2337,430.0,0,0
4987,430.0,0,4987
3465,430.0,3989,0
1789,430.0,0,0
1859,430.0,0,0
2218,430.0,0,0
1788,430.0,429,0
1937,430.0,0,0
3946,430.0,0,0
7136,430.0,0,7136
4359,430.0,5348,0
1311,430.0,0,0
1569,430.0,0,0
974,430.0,258,0
815,430.0,0,0
465,430.0,0,0
612,430.0,0,0
4531,430.0,0,0
5197,430.0,0,5197
2103,430.0,4732,0
1915,430.0,0,0
2249,430.0,0,0
1810,430.0,334,0
1719,430.0,0,0
2315,430.0,0,0
5543,430.0,0,0
6160,430.0,0,6160
2533,430.0,4441,0
1105,430.0,0,0
768,430.0,0,0
957,430.0,0,0
975,430.0,0,0
617,430.0,207,0
1265,430.0,0,0
4316,430.0,0,4316
3596,430.0,3699,0
