G,T
5542,430.0
2637,430.0
1376,430.0
1529,430.0
1784,430.0
1524,430.0
1345,430.0
3950,430.0
5023,430.0
1834,430.0
696,430.0
829,430.0
1403,430.0
1198,430.0
1556,430.0
4730,430.0
4449,430.0
2249,430.0
1341,430.0
1983,430.0
1935,430.0
1632,430.0
2532,430.0
5454,430.0
3710,430.0
1365,430.0
1000,430.0
1260,430.0
1592,430.0
1003,430.0
2687,430.0
5382,430.0
3047,430.0
1630,430.0
1700,430.0
2084,430.0
1697,430.0
2196,430.0
5263,430.0
4402,430.0
1572,430.0
1323,430.0
1409,430.0
1106,430.0
1024,430.0
3283,430.0
5106,430.0
2590,430.0
1252,430.0
1388,430.0
1609,430.0
1501,430.0
1149,430.0
3274,430.0
5379,430.0
2481,430.0
613,430.0
829,430.0
1101,430.0
1219,430.0
1017,430.0
3475,430.0
5369,430.0
2268,430.0
1290,430.0
1698,430.0
1743,430.0
1371,430.0
1803,430.0
5507,430.0
3440,430.0
871,430.0
668,430.0
853,430.0
1366,430.0
1105,430.0
3904,430.0
5154,430.0
2502,430.0
1414,430.0
1632,430.0
1743,430.0
1474,430.0
1252,430.0
4565,430.0
5019,430.0
1705,430.0
622,430.0
780,430.0
1122,430.0
882,430.0
1166,430.0
4513,430.0
4656,430.0
2509,430.0
1805,430.0
1931,430.0
1910,430.0
1585,430.0
3410,430.0
4769,430.0
2552,430.0
1004,430.0
1107,430.0
1380,430.0
1165,430.0
1280,430.0
5285,430.0
3842,430.0
1705,430.0
1227,430.0
1939,430.0
1811,430.0
1369,430.0
3109,430.0
5668,430.0
2562,430.0
809,430.0
890,430.0
1273,430.0
1233,430.0
1325,430.0
4778,430.0
4790,430.0
2007,430.0
1308,430.0
2104,430.0
1583,430.0
1268,430.0
1846,430.0
5792,430.0
3541,430.0
889,430.0
703,430.0
1094,430.0
1463,430.0
1203,430.0
3362,430.0
5309,430.0
2567,430.0
1423,430.0
1674,430.0
1726,430.0
1563,430.0
1548,430.0
4657,430.0
4354,430.0
1387,430.0
633,430.0
986,430.0
1268,430.0
1029,430.0
2483,430.0
5427,430.0
3315,430.0
1529,430.0
1518,430.0
1808,430.0
1489,430.0
1354,430.0
3982,430.0
4820,430.0
1826,430.0
657,430.0
861,430.0
1286,430.0
1142,430.0
1511,430.0
4228,430.0
5187,430.0
1967,430.0
1274,430.0
1739,430.0
1628,430.0
1431,430.0
3289,430.0
4528,430.0
2447,430.0
1026,430.0
892,430.0
1232,430.0
1434,430.0
1128,430.0
3912,430.0
5240,430.0
2151,430.0
1322,430.0
1607,430.0
1751,430.0
1388,430.0
1240,430.0
3911,430.0
5140,430.0
2034,430.0
997,430.0
992,430.0
1847,430.0
1352,430.0
3205,430.0
6295,430.0
3391,430.0
2317,430.0
1992,430.0
2255,430.0
1922,430.0
1298,430.0
3645,430.0
5983,430.0
2159,430.0
656,430.0
780,430.0
988,430.0
1095,430.0
1306,430.0
3355,430.0
4821,430.0
3643,430.0
2141,430.0
2018,430.0
2027,430.0
1333,430.0
1557,430.0
4148,430.0
4696,430.0
1920,430.0
1134,430.0
1180,430.0
1324,430.0
1007,430.0
1610,430.0
4888,430.0
4041,430.0
2296,430.0
1639,430.0
1931,430.0
1635,430.0
1431,430.0
3065,430.0
5731,430.0
2804,430.0
897,430.0
